road_network = {
	3151 = 3208
	3208 = 3249	
	3249 = 3266	
	3266 = 3366	
	3366 = 3481	
	3481 = 3516	
	3516 = 3633
	3633 = 3746		
	3783 = 3806	
	3806 = 3789	
	3789 = 3706
	3706 = 3679	
	3679 = 3618	
	3618 = 3491	
	3491 = 3455	
	1827 = 1868	
	1868 = 1892	
	1892 = 1965
	1965 = 2010	
	2010 = 2062	
	2010 = 1957	
	2062 = 2063
	2063 = 2111
	2062 = 2122	
	2122 = 5548
	5548 = 2183	
	2183 = 2219	
	2219 = 2278	
	2278 = 2250
	2250 = 2259
	2250 = 2278	
	2211 = 2259
	2211 = 2168	
	2168 = 2097	
	2097 = 2037	
	2037 = 1981
	1981 = 1909
	1909 = 1836	
	2547 = 2609	
	2609 = 2672	
	2664 = 2728	
	2664 = 2693
	2693 = 2769
	2769 = 2892	
	2892 = 3031
	2892 = 3032	
	3031 = 3112	
	3112 = 3212	
	3212 = 3254	
	3254 = 3331
	3331 = 3408
	3408 = 3564	
	4033 = 4104
	3564 = 3686
	3686 = 3764	
	3764 = 3851	
	3851 = 4033	
	4033 = 4148	
	4148 = 4238
	4238 = 4333
	4333 = 4334	
	4333 = 4433	
	4433 = 4588	
	4588 = 4624	
	4624 = 4627	
	4627 = 4659
	4659 = 4695
	4695 = 4700		
	4695 = 4638	
	4638 = 4572	
	4700 = 4701	
	4701 = 4708	
	4708 = 4696
	4696 = 4756
	4756 = 4809
	4809 = 4727
	4727 = 4643
	4809 = 4810
	4810 = 4834
	4834 = 4784
	4834 = 4857
	4857 = 4858	
	2609 = 2664	
	2664 = 2677	
	2672 = 2655
	2655 = 2547	
	2677 = 2672
	2672 = 2737
	2655 = 2735
	2735 = 2805
	2775 = 2728
	2775 = 2693
	2775 = 2769
	2775 = 2791
	2728 = 2780	
	2780 = 2791	
	2780 = 2907
	2780 = 2837
	2837 = 2852	
	2852 = 2805	
	2805 = 2901	
	2901 = 2921	
	2921 = 2986	
	2986 = 3082
	3082 = 3125
	3125 = 3238		
	3238 = 3245	
	3245 = 3309	
	3309 = 3360	
	3360 = 3388	
	3388 = 3480
	3480 = 3412	
	3412 = 3505	
	3505 = 3454	
	3454 = 3529
	3454 = 3419
	3419 = 3459	
	3529 = 3622	
	3622 = 3735	
	3735 = 3810	
	3810 = 3909	
	3909 = 3986
	3459 = 3414
	3414 = 3466		
	3466 = 3579	
	3579 = 3652	
	3652 = 3727	
	3727 = 3759	
	2720 = 2701	
	2720 = 2774	
	2774 = 2701		
	2701 = 2630
	2630 = 2562
	2562 = 2511	
	2511 = 2487	
	2487 = 2561		
	2561 = 2510
	2510 = 2457	
	2457 = 2466	
	2457 = 2422	
	2422 = 2384		
	2384 = 2347
	2347 = 2293
	2293 = 2265	
	2774 = 2900	
	2774 = 2956	
	2900 = 2956		
	2956 = 3072
	3072 = 3142
	3142 = 3185
	3185 = 3270	
	3270 = 3142	
	3270 = 3302	
	3302 = 3382		
	3382 = 3521
	1032 = 1035
	1035 = 1013
	1013 = 966
	966 = 888
	966 = 919
	744 = 724
	745 = 744
	745 = 702
	702 = 664
	664 = 631
	631 = 568
	420 = 426
	426 = 431
	425 = 410
	410 = 403
	403 = 393
	431 = 451
	451 = 459
	459 = 465
	465 = 495
	651 = 626
	626 = 643
	626 = 566
	566 = 550
	550 = 510
	510 = 495
	643 = 637
	637 = 621
	621 = 662
	1253 = 1219
	1219 = 1197
	1197 = 1178
	1178 = 1163
	960 = 1007
	1007 = 1049
	105 = 97
	97 = 111
	111 = 125
	125 = 133
	133 = 142
	360 = 345
	345 = 321
	321 = 318
	869 = 898
	898 = 925
	925 = 954
	954 = 882
	882 = 820
	482 = 456
	456 = 454
	454 = 450
	454 = 478
	478 = 489
	489 = 470
	470 = 504
	845 = 819
	819 = 762
	762 = 707
	707 = 653
	653 = 675
	675 = 685
	685 = 748
	1839 = 1787
	1787 = 1793
	1793 = 1756
	2260 = 2297
	2297 = 2315
	2461 = 2553
	3543 = 3502
	5031 = 5006
	5006 = 5017
	5017 = 4961
	4961 = 4921
	4921 = 4864
	4255 = 4175
	4175 = 4041
	4041 = 3966
	3966 = 3877
	4271 = 4233
	4233 = 4191
	4135 = 4096
	4096 = 4000
	4000 = 3930
	3930 = 3916
	3916 = 3874
	3874 = 3824
	3824 = 3808
	3446 = 3464
	3464 = 3488
	3304 = 3323
	3323 = 3381
	3381 = 3427
	2712 = 2788
	2788 = 2804
	2804 = 2849
	2849 = 2871
	2804 = 2755
	2755 = 2704
	2372 = 2373
	2373 = 2381
	2381 = 2449
	2381 = 2317
	2317 = 2310
	2310 = 2277
	2277 = 2242
	2242 = 2198
	2449 = 2509
	2943 = 2889
	2994 = 2964
	2964 = 2818 
	2964 = 2867
	2867 = 2843
}
